time,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5
0,19.4375,20.3125,19.75,18.9375,18.4375,18.0
10,30.5,20.4375,19.8125,19.0,18.4375,18.0
20,31.0625,20.5625,19.875,19.0,18.4375,18.0
30,32.5,20.75,19.9375,19.0625,18.5,18.0
40,34.8125,21.0,20.0625,19.0625,18.5,18.0
50,37.5,21.25,20.125,19.0625,18.5,18.0
60,40.1875,21.5,20.1875,19.125,18.5,18.0
70,42.625,21.75,20.25,19.125,18.4375,17.9375
80,45.25,21.9375,20.3125,19.125,18.5,17.9375
89,47.625,22.1875,20.375,19.125,18.4375,17.875
99,49.8125,22.375,20.4375,19.125,18.4375,17.8125
109,51.625,22.625,20.5,19.1875,18.4375,17.75
119,53.375,22.875,20.5625,19.1875,18.4375,17.6875
129,55.25,23.125,20.625,19.1875,18.4375,17.625
138,56.75,23.3125,20.6875,19.25,18.4375,17.5625
148,58.1875,23.5625,20.75,19.25,18.4375,17.4375
158,59.625,23.75,20.8125,19.25,18.4375,17.375
168,60.8125,23.9375,20.875,19.25,18.4375,17.25
177,62.0,24.125,20.9375,19.3125,18.4375,17.125
187,63.0625,24.3125,21.0,19.3125,18.4375,17.0625
197,64.125,24.5,21.0625,19.3125,18.4375,16.9375
206,65.0625,24.6875,21.125,19.375,18.4375,16.8125
216,65.8125,24.875,21.1875,19.375,18.4375,16.6875
226,66.5,25.0625,21.25,19.375,18.4375,16.5625
236,67.125,25.25,21.3125,19.375,18.4375,16.4375
245,67.8125,25.4375,21.375,19.4375,18.5,16.3125
255,68.4375,25.6875,21.4375,19.4375,18.5,16.1875
265,69.0625,25.875,21.5,19.4375,18.5,16.0625
274,69.75,26.0625,21.5625,19.5,18.5,15.875
284,70.4375,26.25,21.625,19.5,18.5,15.75
294,70.9375,26.375,21.6875,19.5,18.5,15.625
304,71.4375,26.625,21.75,19.5,18.5,15.5
313,71.875,26.8125,21.75,19.5625,18.5,15.375
323,72.3125,26.9375,21.8125,19.5625,18.5,15.25
333,72.75,27.125,21.875,19.5625,18.5,15.125
342,73.25,27.3125,21.9375,19.625,18.5,15.0
352,73.75,27.4375,21.9375,19.625,18.5,14.875
362,74.25,27.625,22.0,19.625,18.5625,14.75
371,74.75,27.8125,22.0625,19.625,18.5625,14.6875
381,75.1875,28.0,22.125,19.6875,18.5625,14.5625
391,75.625,28.1875,22.125,19.6875,18.5625,14.4375
400,76.0625,28.3125,22.1875,19.6875,18.5625,14.3125
410,76.4375,28.5,22.25,19.75,18.5625,14.1875
420,76.875,28.6875,22.3125,19.75,18.5625,14.125
429,77.25,28.8125,22.375,19.75,18.5625,14.0
439,77.625,29.0,22.375,19.75,18.5625,13.875
449,78.0,29.1875,22.4375,19.8125,18.5625,13.8125
458,78.3125,29.375,22.5,19.8125,18.5625,13.6875
468,78.4375,29.625,22.5625,19.8125,18.5625,13.5625
477,78.5625,29.8125,22.625,19.875,18.5625,13.5
487,78.6875,30.0,22.625,19.875,18.5625,13.375
497,78.8125,30.1875,22.6875,19.875,18.625,13.3125
506,78.9375,30.4375,22.75,19.9375,18.625,13.1875
516,79.0625,30.625,22.8125,19.9375,18.625,13.125
526,79.1875,30.875,22.875,19.9375,18.625,13.0
535,79.4375,31.0625,22.9375,19.9375,18.625,12.9375
545,79.75,31.25,23.0,20.0,18.625,12.875
555,80.0625,31.5,23.0625,20.0,18.625,12.75
564,80.3125,31.625,23.125,20.0,18.625,12.6875
574,80.5625,31.8125,23.1875,20.0625,18.625,12.625
583,80.8125,32.0,23.1875,20.0625,18.625,12.5
593,81.0,32.1875,23.25,20.0625,18.625,12.4375
603,81.125,32.3125,23.3125,20.125,18.625,12.375
612,81.1875,32.5,23.375,20.125,18.625,12.3125
622,81.25,32.6875,23.4375,20.125,18.625,12.25
632,81.3125,32.8125,23.4375,20.125,18.625,12.125
641,81.375,33.0,23.5,20.1875,18.625,12.125
651,81.5,33.1875,23.5625,20.1875,18.625,12.0
660,81.5625,33.375,23.625,20.1875,18.625,11.9375
670,81.75,33.5,23.6875,20.25,18.625,11.875
680,81.875,33.6875,23.6875,20.25,18.625,11.8125
689,82.0,33.875,23.75,20.25,18.625,11.75
699,82.1875,34.0625,23.8125,20.3125,18.625,11.6875
709,82.25,34.25,23.875,20.3125,18.625,11.625
718,82.375,34.375,23.9375,20.3125,18.625,11.5625
728,82.5,34.5625,24.0,20.3125,18.625,11.5
737,82.625,34.6875,24.0,20.375,18.625,11.4375
747,82.8125,34.875,24.0625,20.375,18.625,11.375
757,83.0,35.0,24.125,20.375,18.625,11.3125
766,83.25,35.1875,24.1875,20.4375,18.625,11.3125
776,83.375,35.3125,24.25,20.4375,18.625,11.25
785,83.4375,35.4375,24.25,20.4375,18.625,11.1875
795,83.5,35.5625,24.3125,20.4375,18.625,11.125
805,83.5,35.6875,24.375,20.5,18.625,11.0625
814,83.5,35.8125,24.4375,20.5,18.5625,11.0
824,83.5,35.9375,24.5,20.5,18.625,11.0
833,83.5,36.125,24.5,20.5625,18.625,10.9375
843,83.5,36.25,24.5625,20.5625,18.5625,10.875
853,83.625,36.4375,24.625,20.5625,18.5625,10.8125
862,83.8125,36.5625,24.6875,20.5625,18.5625,10.8125
872,84.0,36.6875,24.75,20.625,18.5625,10.75
882,84.125,36.8125,24.8125,20.625,18.5625,10.6875
891,84.1875,36.9375,24.875,20.625,18.5625,10.6875
901,84.1875,37.0625,24.875,20.625,18.5625,10.625
910,84.25,37.1875,24.9375,20.6875,18.5625,10.5625
920,84.25,37.3125,25.0,20.6875,18.5625,10.5625
930,84.3125,37.4375,25.0625,20.6875,18.5625,10.5
939,84.3125,37.5625,25.125,20.75,18.5625,10.4375
949,84.3125,37.6875,25.1875,20.75,18.5,10.4375
958,84.375,37.8125,25.1875,20.75,18.5,10.375
968,84.4375,37.9375,25.25,20.75,18.5,10.375
978,84.5625,38.0,25.3125,20.8125,18.5,10.3125
987,84.6875,38.125,25.375,20.8125,18.5,10.25
997,84.8125,38.25,25.4375,20.8125,18.5,10.25
1006,84.875,38.375,25.5,20.875,18.5,10.1875
1016,84.875,38.5,25.5,20.875,18.5,10.1875
1026,84.8125,38.5625,25.5625,20.875,18.5,10.125
1035,84.75,38.6875,25.625,20.875,18.5,10.125
1045,84.6875,38.8125,25.6875,20.9375,18.4375,10.0625
1054,84.6875,38.9375,25.75,20.9375,18.4375,10.0625
1064,84.8125,39.0625,25.75,20.9375,18.4375,10.0
1073,84.9375,39.1875,25.8125,20.9375,18.4375,10.0
1083,85.0,39.3125,25.875,21.0,18.4375,9.9375
1093,85.0,39.4375,25.9375,21.0,18.4375,9.9375
1102,84.9375,39.5625,26.0,21.0,18.4375,9.875
1112,84.875,39.6875,26.0,21.0625,18.4375,9.875
1121,84.75,39.8125,26.0625,21.0625,18.4375,9.8125
1131,84.75,39.9375,26.125,21.0625,18.4375,9.8125
1141,84.75,40.0625,26.1875,21.0625,18.375,9.75
1150,84.75,40.1875,26.25,21.125,18.375,9.75
1160,84.75,40.3125,26.3125,21.125,18.375,9.6875
1169,84.75,40.4375,26.3125,21.125,18.375,9.6875
1179,84.8125,40.5625,26.375,21.125,18.375,9.6875
1189,84.9375,40.6875,26.4375,21.125,18.375,9.625
1198,85.0625,40.8125,26.5,21.1875,18.375,9.625
1208,85.25,40.9375,26.5625,21.1875,18.375,9.5625
1217,85.5625,41.0625,26.5625,21.1875,18.375,9.5625
1227,85.8125,41.125,26.625,21.25,18.375,9.5
1236,85.9375,41.25,26.6875,21.25,18.3125,9.5
1246,85.9375,41.375,26.75,21.25,18.375,9.5
1256,85.875,41.4375,26.8125,21.25,18.3125,9.4375
1265,85.8125,41.5625,26.875,21.3125,18.3125,9.4375
1275,85.625,41.625,26.875,21.3125,18.3125,9.375
1284,85.5,41.75,26.9375,21.3125,18.3125,9.375
1294,85.375,41.8125,27.0,21.3125,18.3125,9.375
1304,85.3125,41.9375,27.0,21.375,18.3125,9.3125
1313,85.25,42.0,27.0625,21.375,18.3125,9.3125
1323,85.1875,42.125,27.125,21.375,18.3125,9.3125
1332,85.125,42.1875,27.1875,21.375,18.3125,9.25
1342,85.125,42.3125,27.1875,21.4375,18.25,9.25
1351,85.125,42.4375,27.25,21.4375,18.25,9.25
1361,85.1875,42.5,27.3125,21.4375,18.25,9.1875
1371,85.25,42.625,27.375,21.4375,18.25,9.1875
1380,85.375,42.6875,27.375,21.5,18.25,9.1875
1390,85.5625,42.75,27.4375,21.5,18.25,9.125
1399,85.75,42.875,27.5,21.5,18.25,9.125
1409,85.9375,42.9375,27.5,21.5,18.1875,9.0625
1419,86.1875,43.0,27.5625,21.5,18.1875,9.0625
1428,86.4375,43.0625,27.625,21.5,18.1875,9.0625
1438,86.6875,43.125,27.625,21.5625,18.1875,9.0625
1447,86.875,43.1875,27.6875,21.5625,18.1875,9.0
1457,87.0,43.25,27.75,21.5625,18.1875,9.0
1466,87.0625,43.25,27.75,21.5625,18.1875,9.0
1476,87.25,43.375,27.8125,21.625,18.1875,8.9375
1486,87.4375,43.375,27.8125,21.625,18.125,8.9375
1495,87.5625,43.5,27.875,21.625,18.125,8.9375
1505,87.625,43.5625,27.9375,21.625,18.125,8.875
1514,87.625,43.625,27.9375,21.625,18.125,8.875
1524,87.625,43.6875,28.0,21.625,18.125,8.875
1534,87.6875,43.75,28.0625,21.6875,18.125,8.875
1543,87.6875,43.875,28.125,21.6875,18.125,8.8125
1553,87.625,43.9375,28.125,21.6875,18.125,8.8125
1562,87.5625,44.0,28.1875,21.6875,18.125,8.8125
1572,87.5625,44.0625,28.25,21.75,18.125,8.8125
1581,87.6875,44.125,28.25,21.75,18.125,8.75
1591,87.9375,44.1875,28.3125,21.75,18.0625,8.75
1601,88.125,44.25,28.375,21.75,18.0625,8.75
1610,88.125,44.3125,28.375,21.8125,18.0625,8.75
1620,88.125,44.4375,28.4375,21.8125,18.0625,8.6875
1629,88.0625,44.5,28.5,21.8125,18.0625,8.6875
1639,88.0625,44.5625,28.5,21.8125,18.0625,8.6875
1649,88.1875,44.625,28.5625,21.8125,18.0625,8.6875
1658,88.3125,44.6875,28.625,21.875,18.0625,8.625
1668,88.4375,44.6875,28.625,21.875,18.0625,8.625
1677,88.5625,44.75,28.6875,21.875,18.0625,8.625
1687,88.6875,44.8125,28.6875,21.875,18.0625,8.625
1696,88.75,44.875,28.75,21.875,18.0,8.5625
1706,88.8125,44.9375,28.8125,21.9375,18.0625,8.5625
1716,88.8125,44.9375,28.8125,21.9375,18.0625,8.5625
1725,88.875,45.0625,28.875,21.9375,18.0,8.5625
1735,89.0625,45.125,28.9375,21.9375,18.0,8.5625
1744,89.0625,45.1875,28.9375,22.0,18.0,8.5
1754,89.0625,45.25,29.0,22.0,18.0,8.5
1764,89.1875,45.375,29.0625,22.0,18.0,8.5
1773,89.3125,45.4375,29.125,22.0,18.0,8.5
1783,89.3125,45.5,29.1875,22.0625,18.0,8.5
1792,89.3125,45.5625,29.25,22.0625,18.0,8.5
1802,89.3125,45.625,29.25,22.0625,18.0,8.4375
1811,89.25,45.6875,29.3125,22.0625,18.0,8.4375
1821,89.3125,45.75,29.375,22.0625,18.0,8.4375
1831,89.3125,45.8125,29.4375,22.125,18.0,8.4375
1840,89.3125,45.875,29.4375,22.125,18.0,8.4375
1850,89.3125,45.875,29.5,22.125,18.0,8.4375
1859,89.3125,46.0,29.5625,22.1875,18.0,8.375
1869,89.25,46.0625,29.5625,22.1875,17.9375,8.375
1878,89.25,46.125,29.625,22.1875,18.0,8.375
1888,89.3125,46.1875,29.6875,22.1875,17.9375,8.375
1898,89.3125,46.25,29.6875,22.25,17.9375,8.375
1907,89.3125,46.3125,29.75,22.25,18.0,8.3125
1917,89.3125,46.375,29.8125,22.25,18.0,8.3125
1926,89.25,46.4375,29.8125,22.25,17.9375,8.3125
1936,89.3125,46.5,29.875,22.3125,18.0,8.3125
1945,89.3125,46.5,29.9375,22.3125,17.9375,8.3125
1955,89.3125,46.5625,29.9375,22.3125,17.9375,8.3125
1965,89.375,46.625,30.0,22.375,17.9375,8.25
1974,89.3125,46.6875,30.0625,22.375,17.9375,8.25
1984,89.375,46.6875,30.0625,22.375,17.9375,8.25
1993,89.75,46.75,30.125,22.375,17.9375,8.25
2003,89.0,46.8125,30.1875,22.4375,17.9375,8.25
2012,88.4375,46.8125,30.25,22.4375,17.9375,8.25
2022,88.1875,46.875,30.25,22.4375,17.9375,8.1875
2032,88.0625,46.9375,30.3125,22.5,17.9375,8.1875
2041,87.9375,46.9375,30.3125,22.5,17.9375,8.1875
2051,87.875,47.0,30.375,22.5,17.9375,8.1875
2060,87.75,47.0625,30.4375,22.5,17.9375,8.1875
2070,87.75,47.125,30.4375,22.5625,17.9375,8.1875
2079,87.6875,47.1875,30.5,22.5625,17.9375,8.1875
2089,87.5625,47.1875,30.5,22.5625,17.9375,8.1875
2099,87.5,47.25,30.5625,22.5625,17.9375,8.125
2108,87.375,47.3125,30.625,22.625,17.9375,8.125
2118,87.3125,47.375,30.625,22.625,17.9375,8.125
2127,87.25,47.4375,30.6875,22.625,17.9375,8.125
2137,87.25,47.5,30.75,22.6875,17.9375,8.125
2146,87.3125,47.5625,30.8125,22.6875,17.9375,8.125
2156,87.4375,47.625,30.8125,22.6875,17.9375,8.125
2166,87.4375,47.75,30.875,22.75,17.9375,8.0625
2175,87.4375,47.8125,30.9375,22.75,17.9375,8.0625
2185,87.5,47.875,30.9375,22.75,17.9375,8.0625
2194,87.5,47.9375,31.0,22.75,17.9375,8.0625
2204,87.5625,47.9375,31.0625,22.8125,17.9375,8.0625
2213,87.625,48.0,31.0625,22.8125,17.9375,8.0625
2223,87.6875,48.0625,31.125,22.8125,17.9375,8.0
2233,87.75,48.125,31.125,22.875,17.9375,8.0
2242,87.8125,48.1875,31.1875,22.875,17.9375,8.0
2252,87.8125,48.25,31.25,22.875,17.9375,8.0
2261,87.875,48.25,31.3125,22.875,17.9375,8.0
2271,88.0,48.375,31.3125,22.875,17.9375,8.0
2280,88.125,48.375,31.375,22.9375,17.9375,7.9375
2290,88.125,48.4375,31.4375,22.9375,17.9375,7.9375
2299,88.25,48.5,31.4375,22.9375,17.9375,7.9375
