Stations: Seattle Duwamish Vly,
QMUs: Pm2.5 MetOne Bam,
Aggregates: 1-Hour Average,
Query Start Date: 1/1/2018 ,
Query End Date: 12/31/2018,
File Creation Date: 1/22/2019,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,
,
Observation Time,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg
1/1/2018 0:00,14
1/1/2018 1:00,16
1/1/2018 2:00,18
1/1/2018 3:00,16
1/1/2018 4:00,17
1/1/2018 5:00,15
1/1/2018 6:00,18
1/1/2018 7:00,13
1/1/2018 8:00,13
1/1/2018 9:00,9
1/1/2018 10:00,6
1/1/2018 11:00,8
1/1/2018 12:00,6
1/1/2018 13:00,3
1/1/2018 14:00,2
1/1/2018 15:00,1
1/1/2018 16:00,0
1/1/2018 17:00,6
1/1/2018 18:00,5
1/1/2018 19:00,6
1/1/2018 20:00,6
1/1/2018 21:00,9
1/1/2018 22:00,8
1/1/2018 23:00,9
1/2/2018 0:00,11
1/2/2018 1:00,9
1/2/2018 2:00,9
1/2/2018 3:00,7
1/2/2018 4:00,5
1/2/2018 5:00,3
1/2/2018 6:00,6
1/2/2018 7:00,8
1/2/2018 8:00,10
1/2/2018 9:00,18
1/2/2018 10:00,6
1/2/2018 11:00,6
1/2/2018 12:00,7
1/2/2018 13:00,6
1/2/2018 14:00,9
1/2/2018 15:00,7
1/2/2018 16:00,7
1/2/2018 17:00,5
1/2/2018 18:00,4
1/2/2018 19:00,7
1/2/2018 20:00,5
1/2/2018 21:00,8
1/2/2018 22:00,8
1/2/2018 23:00,8
1/3/2018 0:00,9
1/3/2018 1:00,6
1/3/2018 2:00,14
1/3/2018 3:00,9
1/3/2018 4:00,14
1/3/2018 5:00,14
1/3/2018 6:00,20
1/3/2018 7:00,11
1/3/2018 8:00,24
1/3/2018 9:00,17
1/3/2018 10:00,12
1/3/2018 11:00,8
1/3/2018 12:00,6
1/3/2018 13:00,3
1/3/2018 14:00,6
1/3/2018 15:00,7
1/3/2018 16:00,8
1/3/2018 17:00,9
1/3/2018 18:00,8
1/3/2018 19:00,9
1/3/2018 20:00,7
1/3/2018 21:00,5
1/3/2018 22:00,7
1/3/2018 23:00,10
1/4/2018 0:00,8
1/4/2018 1:00,13
1/4/2018 2:00,17
1/4/2018 3:00,14
1/4/2018 4:00,17
1/4/2018 5:00,20
1/4/2018 6:00,29
1/4/2018 7:00,23
1/4/2018 8:00,33
1/4/2018 9:00,34
1/4/2018 10:00,30
1/4/2018 11:00,34
1/4/2018 12:00,30
1/4/2018 13:00,44
1/4/2018 14:00,38
1/4/2018 15:00,23
1/4/2018 16:00,22
1/4/2018 17:00,13
1/4/2018 18:00,15
1/4/2018 19:00,14
1/4/2018 20:00,15
1/4/2018 21:00,17
1/4/2018 22:00,24
1/4/2018 23:00,20
1/5/2018 0:00,19
1/5/2018 1:00,18
1/5/2018 2:00,22
1/5/2018 3:00,14
1/5/2018 4:00,7
1/5/2018 5:00,4
1/5/2018 6:00,8
1/5/2018 7:00,11
1/5/2018 8:00,8
1/5/2018 9:00,12
1/5/2018 10:00,9
1/5/2018 11:00,7
1/5/2018 12:00,8
1/5/2018 13:00,7
1/5/2018 14:00,4
1/5/2018 15:00,3
1/5/2018 16:00,5
1/5/2018 17:00,6
1/5/2018 18:00,4
1/5/2018 19:00,17
1/5/2018 20:00,11
1/5/2018 21:00,11
1/5/2018 22:00,9
1/5/2018 23:00,6
1/6/2018 0:00,2
1/6/2018 1:00,2
1/6/2018 2:00,1
1/6/2018 3:00,0
1/6/2018 4:00,0
1/6/2018 5:00,-1
1/6/2018 6:00,0
1/6/2018 7:00,5
1/6/2018 8:00,4
1/6/2018 9:00,2
1/6/2018 10:00,0
1/6/2018 11:00,-2
1/6/2018 12:00,-2
1/6/2018 13:00,-1
1/6/2018 14:00,0
1/6/2018 15:00,0
1/6/2018 16:00,0
1/6/2018 17:00,4
1/6/2018 18:00,3
1/6/2018 19:00,3
1/6/2018 20:00,2
1/6/2018 21:00,2
1/6/2018 22:00,3
1/6/2018 23:00,5
1/7/2018 0:00,6
1/7/2018 1:00,5
1/7/2018 2:00,10
1/7/2018 3:00,11
1/7/2018 4:00,9
1/7/2018 5:00,6
1/7/2018 6:00,3
1/7/2018 7:00,2
1/7/2018 8:00,1
1/7/2018 9:00,3
1/7/2018 10:00,2
1/7/2018 11:00,2
1/7/2018 12:00,2
1/7/2018 13:00,1
1/7/2018 14:00,3
1/7/2018 15:00,2
1/7/2018 16:00,2
1/7/2018 17:00,7
1/7/2018 18:00,11
1/7/2018 19:00,13
1/7/2018 20:00,11
1/7/2018 21:00,9
1/7/2018 22:00,6
1/7/2018 23:00,3
1/8/2018 0:00,6
1/8/2018 1:00,5
1/8/2018 2:00,1
1/8/2018 3:00,4
1/8/2018 4:00,8
1/8/2018 5:00,7
1/8/2018 6:00,7
1/8/2018 7:00,7
1/8/2018 8:00,19
1/8/2018 9:00,11
1/8/2018 10:00,7
1/8/2018 11:00,4
1/8/2018 12:00,5
1/8/2018 13:00,5
1/8/2018 14:00,5
1/8/2018 15:00,6
1/8/2018 16:00,7
1/8/2018 17:00,5
1/8/2018 18:00,6
1/8/2018 19:00,9
1/8/2018 20:00,6
1/8/2018 21:00,3
1/8/2018 22:00,4
1/8/2018 23:00,2
1/9/2018 0:00,4
1/9/2018 1:00,4
1/9/2018 2:00,4
1/9/2018 3:00,4
1/9/2018 4:00,2
1/9/2018 5:00,2
1/9/2018 6:00,4
1/9/2018 7:00,5
1/9/2018 8:00,5
1/9/2018 9:00,6
1/9/2018 10:00,5
1/9/2018 11:00,1
1/9/2018 12:00,2
1/9/2018 13:00,5
1/9/2018 14:00,3
1/9/2018 15:00,4
1/9/2018 16:00,
1/9/2018 17:00,4
1/9/2018 18:00,6
1/9/2018 19:00,5
1/9/2018 20:00,1
1/9/2018 21:00,-1
1/9/2018 22:00,3
1/9/2018 23:00,5
1/10/2018 0:00,3
1/10/2018 1:00,0
1/10/2018 2:00,-2
1/10/2018 3:00,2
1/10/2018 4:00,5
1/10/2018 5:00,3
1/10/2018 6:00,4
1/10/2018 7:00,3
1/10/2018 8:00,0
1/10/2018 9:00,0
1/10/2018 10:00,3
1/10/2018 11:00,3
1/10/2018 12:00,1
1/10/2018 13:00,3
1/10/2018 14:00,3
1/10/2018 15:00,4
1/10/2018 16:00,4
1/10/2018 17:00,2
1/10/2018 18:00,3
1/10/2018 19:00,3
1/10/2018 20:00,4
1/10/2018 21:00,7
1/10/2018 22:00,6
1/10/2018 23:00,3
1/11/2018 0:00,3
1/11/2018 1:00,6
1/11/2018 2:00,4
1/11/2018 3:00,-1
1/11/2018 4:00,0
1/11/2018 5:00,3
1/11/2018 6:00,4
1/11/2018 7:00,6
1/11/2018 8:00,6
1/11/2018 9:00,1
1/11/2018 10:00,0
1/11/2018 11:00,1
1/11/2018 12:00,4
1/11/2018 13:00,4
1/11/2018 14:00,
1/11/2018 15:00,7
1/11/2018 16:00,5
1/11/2018 17:00,5
1/11/2018 18:00,6
1/11/2018 19:00,6
1/11/2018 20:00,1
1/11/2018 21:00,0
1/11/2018 22:00,3
1/11/2018 23:00,1
1/12/2018 0:00,-1
1/12/2018 1:00,-2
1/12/2018 2:00,1
1/12/2018 3:00,3
1/12/2018 4:00,3
1/12/2018 5:00,5
1/12/2018 6:00,5
1/12/2018 7:00,7
1/12/2018 8:00,7
1/12/2018 9:00,4
1/12/2018 10:00,0
1/12/2018 11:00,1
1/12/2018 12:00,-1
1/12/2018 13:00,1
1/12/2018 14:00,4
1/12/2018 15:00,1
1/12/2018 16:00,-1
1/12/2018 17:00,2
1/12/2018 18:00,6
1/12/2018 19:00,5
1/12/2018 20:00,4
1/12/2018 21:00,4
1/12/2018 22:00,7
1/12/2018 23:00,5
1/13/2018 0:00,4
1/13/2018 1:00,5
1/13/2018 2:00,3
1/13/2018 3:00,4
1/13/2018 4:00,7
1/13/2018 5:00,9
1/13/2018 6:00,5
1/13/2018 7:00,4
1/13/2018 8:00,5
1/13/2018 9:00,8
1/13/2018 10:00,9
1/13/2018 11:00,6
1/13/2018 12:00,4
1/13/2018 13:00,6
1/13/2018 14:00,6
1/13/2018 15:00,4
1/13/2018 16:00,4
1/13/2018 17:00,4
1/13/2018 18:00,2
1/13/2018 19:00,3
1/13/2018 20:00,4
1/13/2018 21:00,6
1/13/2018 22:00,6
1/13/2018 23:00,4
1/14/2018 0:00,5
1/14/2018 1:00,4
1/14/2018 2:00,3
1/14/2018 3:00,2
1/14/2018 4:00,2
1/14/2018 5:00,1
1/14/2018 6:00,-1
1/14/2018 7:00,2
1/14/2018 8:00,2
1/14/2018 9:00,3
1/14/2018 10:00,3
1/14/2018 11:00,4
1/14/2018 12:00,4
1/14/2018 13:00,3
1/14/2018 14:00,2
1/14/2018 15:00,2
1/14/2018 16:00,3
1/14/2018 17:00,5
1/14/2018 18:00,6
1/14/2018 19:00,7
1/14/2018 20:00,7
1/14/2018 21:00,21
1/14/2018 22:00,17
1/14/2018 23:00,16
1/15/2018 0:00,16
1/15/2018 1:00,12
1/15/2018 2:00,13
1/15/2018 3:00,12
1/15/2018 4:00,15
1/15/2018 5:00,10
1/15/2018 6:00,17
1/15/2018 7:00,22
1/15/2018 8:00,27
1/15/2018 9:00,24
1/15/2018 10:00,24
1/15/2018 11:00,20
1/15/2018 12:00,20
1/15/2018 13:00,16
1/15/2018 14:00,9
1/15/2018 15:00,6
1/15/2018 16:00,2
1/15/2018 17:00,-1
1/15/2018 18:00,-1
1/15/2018 19:00,0
1/15/2018 20:00,1
1/15/2018 21:00,6
1/15/2018 22:00,7
1/15/2018 23:00,5
1/16/2018 0:00,5
1/16/2018 1:00,3
1/16/2018 2:00,4
1/16/2018 3:00,6
1/16/2018 4:00,6
1/16/2018 5:00,6
1/16/2018 6:00,6
1/16/2018 7:00,7
1/16/2018 8:00,8
1/16/2018 9:00,6
1/16/2018 10:00,2
1/16/2018 11:00,0
1/16/2018 12:00,0
1/16/2018 13:00,1
1/16/2018 14:00,2
1/16/2018 15:00,5
1/16/2018 16:00,4
1/16/2018 17:00,5
1/16/2018 18:00,6
1/16/2018 19:00,5
1/16/2018 20:00,8
1/16/2018 21:00,13
1/16/2018 22:00,10
1/16/2018 23:00,7
1/17/2018 0:00,8
1/17/2018 1:00,11
1/17/2018 2:00,9
1/17/2018 3:00,6
1/17/2018 4:00,3
1/17/2018 5:00,1
1/17/2018 6:00,2
1/17/2018 7:00,7
1/17/2018 8:00,6
1/17/2018 9:00,2
1/17/2018 10:00,4
1/17/2018 11:00,6
1/17/2018 12:00,5
1/17/2018 13:00,10
1/17/2018 14:00,23
1/17/2018 15:00,2
1/17/2018 16:00,6
1/17/2018 17:00,8
1/17/2018 18:00,5
1/17/2018 19:00,2
1/17/2018 20:00,2
1/17/2018 21:00,4
1/17/2018 22:00,3
1/17/2018 23:00,4
1/18/2018 0:00,3
1/18/2018 1:00,1
1/18/2018 2:00,2
1/18/2018 3:00,1
1/18/2018 4:00,0
1/18/2018 5:00,3
1/18/2018 6:00,3
1/18/2018 7:00,1
1/18/2018 8:00,2
1/18/2018 9:00,3
1/18/2018 10:00,3
1/18/2018 11:00,3
1/18/2018 12:00,6
1/18/2018 13:00,6
1/18/2018 14:00,4
1/18/2018 15:00,3
1/18/2018 16:00,3
1/18/2018 17:00,3
1/18/2018 18:00,4
1/18/2018 19:00,6
1/18/2018 20:00,4
1/18/2018 21:00,3
1/18/2018 22:00,3
1/18/2018 23:00,4
1/19/2018 0:00,5
1/19/2018 1:00,4
1/19/2018 2:00,8
1/19/2018 3:00,6
1/19/2018 4:00,5
1/19/2018 5:00,6
1/19/2018 6:00,4
1/19/2018 7:00,10
1/19/2018 8:00,7
1/19/2018 9:00,7
1/19/2018 10:00,9
1/19/2018 11:00,15
1/19/2018 12:00,11
1/19/2018 13:00,8
1/19/2018 14:00,6
1/19/2018 15:00,3
1/19/2018 16:00,5
1/19/2018 17:00,6
1/19/2018 18:00,3
1/19/2018 19:00,1
1/19/2018 20:00,0
1/19/2018 21:00,-1
1/19/2018 22:00,0
1/19/2018 23:00,0
1/20/2018 0:00,2
1/20/2018 1:00,7
1/20/2018 2:00,5
1/20/2018 3:00,3
1/20/2018 4:00,8
1/20/2018 5:00,7
1/20/2018 6:00,3
1/20/2018 7:00,3
1/20/2018 8:00,5
1/20/2018 9:00,6
1/20/2018 10:00,8
1/20/2018 11:00,5
1/20/2018 12:00,2
1/20/2018 13:00,6
1/20/2018 14:00,3
1/20/2018 15:00,1
1/20/2018 16:00,2
1/20/2018 17:00,0
1/20/2018 18:00,2
1/20/2018 19:00,3
1/20/2018 20:00,0
1/20/2018 21:00,7
1/20/2018 22:00,8
1/20/2018 23:00,8
1/21/2018 0:00,9
1/21/2018 1:00,6
1/21/2018 2:00,5
1/21/2018 3:00,2
1/21/2018 4:00,-2
1/21/2018 5:00,-2
1/21/2018 6:00,0
1/21/2018 7:00,-1
1/21/2018 8:00,-2
1/21/2018 9:00,3
1/21/2018 10:00,6
1/21/2018 11:00,3
1/21/2018 12:00,0
1/21/2018 13:00,1
1/21/2018 14:00,0
1/21/2018 15:00,2
1/21/2018 16:00,3
1/21/2018 17:00,4
1/21/2018 18:00,2
1/21/2018 19:00,0
1/21/2018 20:00,0
1/21/2018 21:00,3
1/21/2018 22:00,7
1/21/2018 23:00,8
1/22/2018 0:00,5
1/22/2018 1:00,3
1/22/2018 2:00,2
1/22/2018 3:00,1
1/22/2018 4:00,1
1/22/2018 5:00,1
1/22/2018 6:00,0
1/22/2018 7:00,10
1/22/2018 8:00,11
1/22/2018 9:00,6
1/22/2018 10:00,2
1/22/2018 11:00,1
1/22/2018 12:00,1
1/22/2018 13:00,3
1/22/2018 14:00,4
1/22/2018 15:00,5
1/22/2018 16:00,4
1/22/2018 17:00,5
1/22/2018 18:00,4
1/22/2018 19:00,4
1/22/2018 20:00,7
1/22/2018 21:00,7
1/22/2018 22:00,7
1/22/2018 23:00,9
1/23/2018 0:00,7
1/23/2018 1:00,4
1/23/2018 2:00,3
1/23/2018 3:00,5
1/23/2018 4:00,5
1/23/2018 5:00,6
1/23/2018 6:00,6
1/23/2018 7:00,8
1/23/2018 8:00,7
1/23/2018 9:00,10
1/23/2018 10:00,9
1/23/2018 11:00,5
1/23/2018 12:00,7
1/23/2018 13:00,6
1/23/2018 14:00,4
1/23/2018 15:00,1
1/23/2018 16:00,-2
1/23/2018 17:00,0
1/23/2018 18:00,3
1/23/2018 19:00,3
1/23/2018 20:00,2
1/23/2018 21:00,2
