datetime,MS_pres,MS_temp,R_av,i_av,Therm_temp
2022/3/10 10:28:52,13.04,1028.09,656.614,0.0015,-59.80
2022/3/10 10:31:24,12.83,1028.15,1096.310,0.0007,-59.19
2022/3/10 10:34:0,11.84,1028.33,1124.043,0.0007,-60.51
2022/3/10 10:36:35,11.34,1028.63,1145.399,0.0007,-61.11
2022/3/10 10:39:11,11.22,1028.70,1394.244,0.0006,-60.97
2022/3/10 10:41:47,10.58,1028.71,1234.814,0.0006,-61.25
2022/3/10 10:44:23,10.28,1028.84,1201.392,0.0006,-62.47
2022/3/10 10:46:59,9.86,1028.92,1127.319,0.0006,-62.70
2022/3/10 10:49:35,9.74,1028.55,1126.392,0.0006,-61.60
2022/3/10 10:52:10,8.16,1181.02,494.468,0.0012,-66.09
2022/3/10 10:54:46,7.32,1239.87,410.259,0.0012,-67.25
2022/3/10 11:27:43,-999.00,-999.00,422.911,0.0011,-67.68
2022/3/10 11:30:15,-999.00,-999.00,423.715,0.0011,-67.84
2022/3/10 11:32:43,-999.00,-999.00,412.349,0.0011,-68.07
2022/3/10 11:35:20,-999.00,-999.00,421.696,0.0011,-67.46
2022/3/10 11:37:51,-999.00,-999.00,419.857,0.0011,-67.41
2022/3/10 11:40:23,6.49,1219.28,372.372,0.0012,-68.24
2022/3/10 11:42:59,6.49,1217.49,371.605,0.0012,-67.20
2022/3/10 11:45:35,6.49,1215.76,375.281,0.0012,-67.52
2022/3/10 11:48:11,6.49,1214.02,370.661,0.0012,-67.90
2022/3/10 11:50:47,-999.00,-999.00,403.275,0.0011,-67.41
2022/3/10 11:53:19,-999.00,-999.00,398.971,0.0011,-67.68
2022/3/10 11:55:51,-999.00,-999.00,397.147,0.0011,-67.96
2022/3/10 11:58:23,-999.00,-999.00,392.528,0.0011,-67.63
2022/3/10 12:0:54,-999.00,-999.00,387.185,0.0011,-67.90
2022/3/10 12:3:27,6.53,1204.64,351.525,0.0012,-68.24
2022/3/10 12:6:2,6.54,1202.83,348.297,0.0012,-68.18
2022/3/10 12:8:38,6.54,1201.50,348.749,0.0012,-67.79
2022/3/10 12:11:13,6.55,1200.03,346.663,0.0012,-67.90
2022/3/10 12:13:49,6.55,1198.06,344.998,0.0012,-67.63
2022/3/10 12:16:25,-999.00,-999.00,376.790,0.0012,-67.36
2022/3/10 12:18:57,-999.00,-999.00,379.895,0.0011,-67.41
2022/3/10 12:21:29,-999.00,-999.00,380.591,0.0011,-67.68
2022/3/10 12:24:1,-999.00,-999.00,395.248,0.0011,-66.99
2022/3/10 12:34:9,-999.00,-999.00,391.048,0.0011,-67.90
2022/3/10 12:36:41,-999.00,-999.00,391.933,0.0011,-67.20
2022/3/10 12:39:12,-999.00,-999.00,395.979,0.0011,-67.57
2022/3/10 12:49:20,-999.00,-999.00,366.516,0.0012,-66.83
2022/3/10 12:51:52,-999.00,-999.00,366.408,0.0012,-66.99
2022/3/10 12:54:24,-999.00,-999.00,373.949,0.0012,-66.78
2022/3/10 13:2:0,-999.00,-999.00,380.315,0.0012,-67.25
2022/3/10 13:4:32,-999.00,-999.00,382.042,0.0012,-67.41
2022/3/10 13:7:4,-999.00,-999.00,388.567,0.0012,-67.84
2022/3/10 13:9:36,-999.00,-999.00,390.345,0.0011,-67.79
2022/3/10 13:12:8,-999.00,-999.00,426.778,0.0011,-66.83
2022/3/10 13:14:39,-999.00,-999.00,427.006,0.0011,-68.29
2022/3/10 13:17:11,-999.00,-999.00,455.503,0.0011,-68.07
2022/3/10 13:19:43,-999.00,-999.00,412.683,0.0011,-67.63
2022/3/10 13:22:15,-999.00,-999.00,414.547,0.0011,-67.09
2022/3/10 13:24:47,-999.00,-999.00,414.375,0.0011,-66.94
2022/3/10 13:27:19,-999.00,-999.00,416.237,0.0011,-67.52
2022/3/10 13:29:51,-999.00,-999.00,415.707,0.0011,-67.30
2022/3/10 13:32:23,-999.00,-999.00,415.474,0.0011,-67.15
2022/3/10 13:34:55,-999.00,-999.00,409.699,0.0011,-67.68
2022/3/10 13:37:27,-999.00,-999.00,416.611,0.0011,-67.36
2022/3/10 13:39:59,-999.00,-999.00,428.400,0.0011,-67.41
2022/3/10 13:42:31,-999.00,-999.00,406.407,0.0011,-67.52
2022/3/10 13:45:3,-999.00,-999.00,419.943,0.0011,-66.83
2022/3/10 14:7:50,-999.00,-999.00,421.092,0.0011,-67.57
2022/3/10 14:10:22,-999.00,-999.00,466.892,0.0010,-67.41
2022/3/10 14:12:54,-999.00,-999.00,453.899,0.0010,-66.78
2022/3/10 14:15:26,-999.00,-999.00,419.277,0.0011,-67.20
2022/3/10 14:17:58,-999.00,-999.00,420.424,0.0011,-66.83
